"Year","Industry","Value"
2023,"Construction",444419
2023,"Professional, scientific and technical services",336214
2023,"Rental, hiring and real estate services",290103
2023,"Transport, postal and warehousing",218662
2023,"Health care and social assistance",185260
2023,"Agriculture, forestry and fishing",174471
2023,"Retail trade",155755
2023,"Other services",127986
2023,"Financial and insurance services",123266
2023,"Administrative and support services",120630
2023,"Accommodation and food services",110175
2023,"Manufacturing",90174
2023,"Wholesale trade",82560
2023,"Education and training",40828
2023,"Arts and recreation services",37649
2023,"Information media and telecommunications",24757
2023,"Electricity, gas, water and waste services",8582
2023,"Mining",8473
2023,"Public administration and safety",7488
2023,"Currently unknown",2421
